kldb_title_de,kldb_title_en_proxy,kldb_5_code
Sozialversicherungsfachangestellte/r - Rentenversicherung,Social insurance clerk - pension insurance,73212
Sozialversicherungsfachangestellte/r - Unfallversicherung,Social insurance clerk - accident insurance,73212
Sozialverwaltungswirt/in,Social administration economist,73214
Sozialwirt/in,Social economist,73223
Sozialwissenschaftler/in,Social scientist,91324
Sozialwissenschaftler/in (Uni),Social scientist (university),91324
Sozialwissenschaftler/in / Soziologe/Soziologin,Social scientist/sociologist/sociologist,91324
Soziologe/Soziologin,sociologist/sociologist,91324
Soziologe/Soziologin (Uni),Sociologist (university),91324
Spa-Berater/in,Spa consultant,82223
Spalter/in (Steinbruch),Cleaver (quarry),21212
Spannbetonmonteur/in,Prestressed concrete fitter,32112
Spannungsarmglher/in (Wrmebehandlungstechnik),Stress relief heater (heat treatment technology),24302
Spargelanbauer/in,Asparagus grower,11182
Spargelstecher/in,Asparagus cutter,11101
Sparkassenabteilungsdirektor/in,Savings Bank Department Director,72194
Sparkassenangestellte/r,Savings bank employee,72112
Sparkassenbetriebswirt/in,Savings bank business economist,72113
Sparkassendirektor/in,Savings Bank Director,72194
Sparkassenfachwirt/in,Savings bank specialist,72113
Sparkassenkaufmann/-frau,Savings bank clerk,72112
Sparkassenleiter/in,Savings bank manager,72194
Sparkassenprfer/in,Savings bank auditor,72244
Sparkassenrevisor/in,Savings bank auditor,72244
Sparkassenzweigstellenleiter/in,Sparkasse branch manager,72194
Spediteur/in,Freight forwarder,51623
Speditionskaufmann/-frau,Forwarding agent,51622
Speditionsvermittler/in,Shipping agent,51623
Speicherarbeiter/in,Storage worker,51311
Speiseeishersteller/in,Ice cream manufacturer,29252
Speisefettfacharbeiter/in,Cooking fat specialist,29282
Speisefetthersteller/in,Edible fat manufacturer,29282
Speisefischzchter/in,Food fish farmer,11412
Speiselfacharbeiter/in,Foodservice worker,29282
Speisewagenkellner/in,Dining car waiter,63382
Speisewagenkoch/-kchin,Dining car cook,29302
Spektralprfer/in,Spectral examiner,41422
Spengler/in,Plumber,34202
Spenglerhelfer/in,Plumber's helper,34201
Spenglermeister/in,Master plumber,34293
Sperrwerkswrter/in (an Schleusen),Barrier guard (at locks),51242
Spezialbaufacharbeiter/in (Hochbau),Special construction worker (building construction),32102
Spezialdreher/in,Special lathe operator,24232
Spezialdrucker/in,Special printer,23412
Spezialglasfacharbeiter/in,Special glass worker,21312
Spezialist/in - Industrie 4.0,Specialist - Industry 4.0,27303
Spezialittenbcker/in,Specialty baker,29222
Spezialittenkoch/-kchin,Specialty chef/cook,29302
Spezialreiniger/in,Special cleaner,54182
Spezialsetzer/in,Special compositor,23212
Spezialtiefbauer/in,Specialist civil engineer,32202
Spezialwerkzeugschlosser/in,Special tool fitter,24522
Spiegelglasmacher/in,Mirror glass maker,21312
Spiegelrahmenmacher/in,Mirror frame maker,22332
Spielautomatenmechaniker/in,Slot machine mechanic,25132
Spieleentwickler/in,Game developer,23223
Spieleerfinder/in,Game inventor,23223
Spielegestalter/in,Game designer,23223
Spieletester/in,Game tester,91341
Spielgertebauer/in,Play equipment builder,27282
Spielhallenaufseher/in,Arcade supervisor,53111
Spielhallenaufsicht,Arcade supervision,53111
Spielkartenfertiger/in,Playing card maker,23122
Spielleiter/in (Oper/Operette),Director (opera/operetta),94414
Spielleiter/in (Schauspiel),Game director (acting),94414
Spielleiterassistent/in,Game director assistant,94413
Spielpdagoge/-pdagogin,Play educator,91334
Spielplatzaufseher/in,Playground supervisor,53111
Spieltherapeut/in,Play therapist,81723
Spielwarendrechsler/in,Toy turner,93332
Spielwarenfachberater/in,Toy specialist advisor,62232
Spielwarenmacher/in,Toy maker,93332
Spielwarenmaler/in (Holzspielzeugherstellung),Toy painter (wooden toy making),22202
Spielwarenverkufer/in,Toy seller,62232
Spielzeugdesigner/in,Toy designer,93333
Spielzeugfacharbeiter/in,Toy worker,93332
Spielzeuggestalter/in,Toy designer,93333
Spielzeughersteller/in,Toy manufacturer,93332
Spielzeugherstellerhelfer/in,Toy manufacturer assistant,22301
Spielzeugmacher/in,Toymaker,93332
Spinnereifacharbeiter/in,Spinning skilled worker,28132
Spinnereimeister/in,Spinning master,28193
Spinnereitechniker/in,Spinning mill technician,28133
Spinnerhelfer/in,Spinner helper,28101
Spinnvorbereiter/in,Spinning preparer,28132
Spiralenmacher/in (Drahtverarbeiter/in),Spiral maker (wire processor),24212
Spirituosenfacharbeiter/in,Spirits specialist,29132
Spirituosenhersteller/in,Spirits manufacturer,29132
Spiritus- und Hefefacharbeiter/in,Spirit and yeast specialist worker,29132
Spitzendreher/in,Top turner,24232
Spitzenklppler/in,Top lacemaker,28122
Spitzenweber/in,Lace weaver,28122
Spleiáer/in,Splicer,28132
Spleiáer/in (Drahtseil),Splicer (wire rope),24212
Sport- und Bewegungsfachkraft,Sports and exercise specialist,84553
Sport- und Fitnesskaufmann/-frau,Sports and fitness clerk,63122
Sport- und Fitnesstrainer/in,Sports and fitness trainer,84553
Sportartikelmonteur/in,Sporting goods fitter,27282
Sportartikelsattler/in,Sporting goods saddler,28322
Sportartikelverkufer/in,Sports goods salesman,62212
Sportarzt/-rztin,Sports doctor,81484
Sportassistent/in,Sports assistant,63122
Sportbetriebswirt/in (Fachschule),Sports business economist (technical school),63123
Sportdozent/in,Sports lecturer,84304
Sportfachmann/-frau,Sports specialist,63122
Sportfachwirt/in,Sports specialist,63123
Sportforscher/in,Sports researcher,84504
Sportfotograf/in,Sports photographer,23322
Sportgertebauer/in,Sports equipment builder,27282
Sportgertebauerhelfer/in,Sports equipment construction assistant,22301
Sportgerteverkufer/in,Sports equipment salesman,62212
Sportheilpraktiker/in,Sports naturopath,81752
Sporthochseeschiffer/in,Sport ocean skipper,52413
Sportingenieur/in,Sports engineer,27284
Sportjournalist/in,Sports journalist,92414
Sportlehrer/in,Sports teacher,84503
Sportlehrer/in - Prvention/Rehabilitation,Sports teacher - prevention/rehabilitation,83133
Sportlehrer/in - Rehabilitation/Behindertensport,Sports teacher - rehabilitation/disabled sports,83133
Sportlehrer/in (staatl.gepr. ),Sports teacher (state-certified),84503
Sportlehrkraft,Sports teacher,84503
Sportleiter/in,Sports director,84504
Sportmanagementbetriebswirt/in (Fachschule),Sports management business economist (technical school),63123
"Sportmanager/in, -konom/in","Sports manager, economist",63124
Sportmediziner/in,Sports medicine specialist,81484
Sportkonom/in,Sports economist,63124
Sportpdagoge/-pdagogin,Sports educator,84504
Sportphysiotherapeut/in,Sports physiotherapist,81713
Sportplatzwart/in,Sports field attendant,34112
Sportpsychologe/-psychologin,Sports psychologist,81614
Sportredakteur/in,Sports editor,92413
Sportreporter/in,Sports reporter,92414
Sportsattler/in,Sports saddler,28322
Sportschuhmacher/in,Sports shoemaker,28332
Sporttauchlehrer/in,Sports diving instructor,84583
Sporttherapeut/in,Sports therapist,81783
Sporttrainer/in,Sports trainer,84503
Sportvereinsmanager/in,Sports club manager,63124
Sportwarenverkufer/in,Sports goods salesman,62212
Sportwissenschaftler/in,Sports scientist,84504
Sprachenlehrer/in - Deutsch als Fremdsprache,Language teacher - German as a foreign language,84454
Sprachenlehrer/in - Fremdsprachen,Language teacher - foreign languages,84454
Sprachforscher/in,Linguist,91104
Sprachheilpdagoge/-pdagogin,Speech therapy teacher,81733
Sprachheiltherapeut/in,Speech therapist,81733
Sprachmittler/in,Language mediator,71423
Sprachtherapeut/in,Speech therapist,81733
Sprachwissenschaftler/in,Linguist,91104
Sprecher/in (Fernsehen/Film/Rundfunk),Speaker (television/film/radio),94334
Sprecherzieher/in,Speaker educator,81733
Sprechlehrer/in,Speech teacher,81733
Sprechstunden-/Praxishelfer/in,Office hours/practice assistant,81102
Sprechstundenhelfer/in,Consultation assistant,81102
Sprechstundenhilfe (Zahnarztpraxis),Consultation help (dental practice),81112
Sprechstundenschwester,Consultation nurse,81102
Sprechtherapeut/in,Speech therapist,81733
Sprechwissenschaftler/in,Speech scientist,91184
Sprengbeauftragte/r,Blasting officer,21123
Sprengbeauftragte/r (Bergbau),Blasting officer (mining),21123
Sprengberechtigte/r,Person authorized to blast,21123
Sprenger/in (Steinbruch),Sprinkler (quarry),21123
Sprengingenieur/in,Blast engineer,21124
Sprengingenieur/in (Bergbau),Blasting engineer (mining),21124
Sprengmeistergehilfe/-gehilfin,Blasting master's assistant,21122
Sprengmeisterhelfer/in,Blasting master assistant,21122
Sprengsteiger/in,Explosive climber,21123
Sprengstoffaufseher/in,Explosives supervisor,21193
Sprengstofffachmann/-frau (Bergbau),Explosives specialist (mining),21123
Sprengtechniker/in,Blasting technician,21123
Sprengwagenfahrer/in,Bomb truck driver,52122
Springausbilder/in,Jumping instructor,84583
Springer/in - Maschenindustrie,Jumper - Mesh Industry,28122
Springer/in - Spinnerei,Jumper - Spinning,28132
Springer/in - Vliesstoffindustrie,Springer - Nonwovens Industry,28122
Springer/in - Weberei,Jumper - weaving,28122
Springer/in (Tufting),Jumper (tufting),28122
Sprinklermonteur/in,Sprinkler fitter,34212
Spritzmaschinenfhrer/in (Gummiwerker/in),Spray machine operator (rubber worker),22102
Spritzverzinker/in,Spray galvanizer,24302
Sprhlackierer/in,Spray painter,22202
SPS-Fachkraft,PLC specialist,43122
SPS-Ingenieur/in,PLC engineer,43124
SPS-Programmierer/in,PLC programmer,43122
SPS-Techniker/in,PLC technician,43122
Spulenfertiger/in (Elektro),Coil maker (electric),26222
Spulenwickler/in (Drahtverarbeitung),Coil winder (wire processing),24212
Spulenwickler/in (Transformatorenbau),Coil winder (transformer construction),26222
Spuler/in - Textiltechnik,Bobbin winder - textile technology,28132
Spuler/in (Drahtverarbeiter/in),Winder (wire processor),24212
Spler/in (Hausratreiniger/in),Washer (household cleaner),54101
Spulerhelfer/in,Winder assistant,28101
Spulmaschinenbediener/in,Winder operator,28132
Staatsanwalt/-anwltin,Public prosecutor/attorney,73144
Staatswissenschaftler/in,Political scientist,91314
Stabzieher/in,Rod puller,24122
Stadt- und Regionalplaner/in,City and regional planner,31124
Stadtbahnwagenfhrer/in (S-Bahn),Light rail car driver (S-Bahn),52132
Stadtbaumeister/in,City architect,31194
Stdtebauarchitekt/in,Urban development architect,31124
Stdtebauingenieur/in,Urban construction engineer,31124
Stdtebauplaner/in,Urban planner,31124
Stadtentwicklungsplaner/in,Urban development planner,31124
Stadtjugendpfleger/in,City youth worker,83124
Stadtkmmerer/-kmmerin,City treasurer,73284
Stadtpfarrer/in,City priest,83314
Stadtplaner/in,City planner,31124
Stadtrat/-rtin,City councilor,71214
Stage Manager/in (Musical),Stage Manager (Musical),94593
Stahl- und Metallbauingenieur/in,Steel and metal construction engineer,24414
Stahlarbeiter/in,Steelworker,24112
Stahlbnderschneider/in,Steel strip cutter,24212
Stahlbauer/in,Steelworker,24412
Stahlbauingenieur/in,Steel construction engineer,24414
Stahlbaukonstrukteur/in,Steel construction designer,27223
Stahlbaumontagehelfer/in,Steel construction assembly assistant,24411
Stahlbaumonteur/in,Steel construction fitter,24412
Stahlbaurichtmeister/in,Steel construction erector,24493
Stahlbauschlosser/in,Steel construction fitter,24412
Stahlbauschlosserhelfer/in,Steel construction fitter assistant,24411
Stahlbautechniker/in,Steel construction technician,24413
Stahlbauzeichner/in,Steel construction draftsman,27212
Stahlbetonbauer/in,Reinforced concrete constructor,32112
Stahlbetonbauermeister/in,Master reinforced concrete builder,32193
Stahlbetonbaufacharbeiter/in,Reinforced concrete construction worker,32112
Stahlbetontechniker/in,Reinforced concrete technician,32113
Stahlbetonzeichner/in,Reinforced concrete draftsman,27212
Stahlblechstanzer/in,Sheet steel puncher,24212
Stahlbohrer/in,Steel drill,24232
Stahlbrombelschlosser/in,Steel bromine locksmith,24412
Stahldrahtzieher/in,Steel wire puller,24122
Stahldreher/in,Steel turner,24232
Stahldrucker/in,Steel printer,23412
Stahlfederglher/in,Steel spring glower,24302
Stahlflechter/in,Steel weaver,32112
Stahlformenbauer/in,Steel mold maker,24522
Stahlformer/in,Steel former,24142
Stahlformgieáer/in,Steel molder,24132
Stahlgestellmacher/in,Steel frame maker,24412
Stahlgraveur/in,Steel engraver,24522
Stahlgussformer/in,Steel casting moulder,24142
Stahlhrter/in,Steel hardener,24302
Stahlhochbauer/in,Steel construction engineer,24412
Stahlkaufmann/-frau (Handel),Steel merchant (trade),61282
Stahlkonstruktionsschlosser/in,Steel construction fitter,24412
Stahlmbelschlosser/in,Steel furniture fitter,24412
Stahlrohrgerstbauer/in,Tubular steel frame builder,32162
Stahlrollenstecher/in,Steel roller engraver,23212
Stahlsaitenmacher/in,Steel string maker,24122
Stahlschiffbauer/in,Steel shipbuilder,25242
Stahlschmied/in,Steelsmith,24412
Stahlschneider/in,Steel cutter,24212
Stahlstichgraveurmeister/in,Master steel engraver,93593
Stahlstichprger/in,Steel engraver,23412
Stahlwalzer/in,Steel roller,24122
Stahlwerksfacharbeiter/in,Steelworks skilled worker,24112
Stahlwerksingenieur/in,Steelworks engineer,24114
Stahlwerksmeister/in,Steelworks foreman,24193
Stahlwerkstechniker/in,Steelworks technician,24113
Stallbursche/-mdchen,Stable boy/girl,11211
Stallhelfer/in,Stable helper,11211
Stallmeister/in,stable master,11283
Stallmeister/in (Tierpfleger/in),Stable master (animal keeper),11582
Stallutensiliensattler/in,Stable utensil saddler,28322
Standesbeamt(er/in),Registrar,73283
Stangen- u. Rohrzieher/in,Rod and pipe puller,24122
Stangenzieher/in,Rod puller,24122
Stanz- und Umformmechaniker/in,Punching and forming mechanic,24212
Stanzautomateneinrichter/in,Punching machine setter,24212
Stanzeinrichter/in,Punch setter,24212
Stanzenbauer/in,Punch maker,24522
Stanzenmacher/in,Punch maker,24522
Stanzer/in - Metall,Puncher - metal,24212
Stanzereitechniker/in,Stamping shop technician,24523
Stanzerhelfer/in,Punch assistant,24201
Stanzfachkraft,Punching specialist,24212
Stanzformenbauer/in,Cutting die maker,24522
Stanzmaschinenbediener/in,Punching machine operator,24201
Stanzmaschineneinrichter/in,Punching machine setter,24212
Stanzmaschineneinsteller/in,Punching machine adjuster,24212
Stanzmaschinenfhrer/in,Punching machine operator,24212
Stanzmesserschmied/in,Punch knife smith,24522
Stanzwerkzeugmacher/in,Punching tool maker,24522
Stapelgussformer/in,Stack molder,24142
Staplerfahrer/in,Forklift driver,52531
Strkehersteller/in,Starch manufacturer,29282
Strkezuckermacher/in,Starch sugar maker,29262
Starkstromelektriker/in,Heavy-duty electrician,26252
Starkstromingenieur/in,Power engineer,26264
Starkstromleitungsleger/in,Power line layer,26262
Starkstrommonteur/in,Heavy current technician,26252
Starkstromtechniker/in,Power technician,26263
Statiker/in,Structural engineer,31104
Stationsarzt/-rztin,Ward doctor,81484
Stationsassistent/in,Ward assistant,73222
Stationsborddienstleiter/in (Catering),Station on-board dispatcher (catering),63394
Stationshelfer/in - Altenpflege,Ward assistant - geriatric care,82101
Stationshelfer/in - Behindertenpflege,Ward assistant - care for the disabled,81301
Stationshelfer/in - Krankenpflege,Ward assistant - nursing,81301
Stationsleiter/in - Kinderkrankenpflege,Ward manager - pediatric nursing,81393
Stationsleiter/in - Kranken-/Alten-/Kinderkrankenpflege,Ward manager - nursing/elderly/children's nursing,81393
Stationsleiter/in - Krankenpflege,Ward manager - nursing,81393
Stationsleiter/in - Krankenpflege/Altenpflege,Ward Manager - Nursing/Elderly Care,81393
Stationsleiter/in - Luftverkehr,Station Manager - Aviation,51594
Stationsleiter/in - Pflegedienst,Ward manager - nursing service,81393
Stationsschwester/-pfleger,Ward nurse/nurse,81393
Stationsschwester/-pfleger - Kinderkrankenpflege,Ward nurse - pediatric nursing,81393
Statist/in,extra,94283
Statistiker/in,Statistician,41114
Staubschutzsteiger/in,Dust protection climber,21113
Staubsteiger/in,Dust climber,21113
Staudengrtner/in,Perennial gardener,12122
Staudengrtnermeister/in,Master perennial gardener,12193
Stecknadelmacher/in,Pin maker,24212
Stegreifdichter/in,Impromptu poet,92434
Steiger/in,Steiger/in,21113
Steiger/in - Lagerwirtschaft,Steiger/in - Warehousing,21113
Steiger/in - Tagebau,Steiger/in - opencast mining,21113
Steinbautechniker/in,Stone construction technician,21233
Steinbearbeiter/in,Stone worker,21232
Steinbearbeitungshelfer/in,Stone processing assistant,21201
Steinbehauer/in,Stone carver,21232
Steinbildhauer/in,Stone sculptor,93312
Steinbildhauer/in - Denkmalpflege,Stone sculptor - monument preservation,93312
Steinbildhauermeister/in,Master stone sculptor,93393
Steinbohrer/in,Stone driller,21212
Steinbrecher/in,Stone crusher,21212
Steinbrecherhelfer/in,Stone crusher helper,21201
Steinbrucharbeiter/in,Quarry worker,21212
Steinbruchbohrer/in,Quarry driller,21212
Steindrechsler/in,Stone turner,21232
Steindreher/in,Stone turner,21232
Steindrucker/in,Stone printer,23412
Steinfliesenmacher/in,Stone tile maker,21212
Steinfrser/in,Stone cutter,21212
Steingestalter/in,Stone designer,93313
Steingutdesigner/in,Stoneware designer,93413
Steingutgestalter/in,Stoneware designer,93413
Steinhobler/in,Stone planer,21232
Steinholzleger/in,Stonewood layer,33122
Steinholzleger/in und Spezialestrichhersteller/in,Stonewood layer and special screed manufacturer,33122
Steinmetz/in,Stonemason,21232
Steinmetz/in - Kunstformer/in,Stonemason - art shaper,93312
Steinmetz/in - Steinbildhauer/in,Stonemason - stone sculptor,21232
Steinmetz/in (Industrie),Stonemason (industry),21232
Steinmetz/in und Steinbildhauer/in - Denkmalpflege,Stonemason and stone sculptor - monument preservation,93312
Steinmetz/in und Steinbildhauer/in - Steinbildhauerarbeiten,Stonemason and stone sculptor - stone carving work,93312
Steinmetz/in und Steinbildhauer/in - Steinmetzarbeiten,Stonemason and stone sculptor - stone carving work,21232
Steinmetz-/Steinbildhauermeister/in/B. Prof. Steinbildh.Hw.,Master stonemason/stone sculptor/B. Prof. Steinbildh.Hw.,21293
Steinmetzhelfer/in,Stonemason helper,21201
Steinmetzmeister/in,Master stonemason,21293
Steinmetztechniker/in,Stonemason technician,21233
Steinmischer/in (Schottermischer/in),Stone mixer (gravel mixer),21212
Steinofenbrotbcker/in,Stone oven bread baker,29222
Steinpolierer/in,Stone polisher,21232
Steinputzer/in (Steinbrecher),Stone cleaner (stone crusher),21212
Steinsger/in,Steinssger/in,21212
Steinschleifer/in,Stone grinder,21212
Steinsetzer/in,Stone setter,32212
Steinsetzerhelfer/in,Stone setting assistant,32201
Steinsortierer/in,Stone sorter,93522
Steinspalter/in,Stone splitter,21212
Steinzeugformer/in,Stoneware moulder,21412
Stellmacher-/Bttcherhelfer/in,Wheelwright/bttcher helper,22301
Stellmacher/in,Wheelwright,22382
Stellmacherhelfer/in,Wheelwright's assistant,22301
Stellmachermeister/in,Master wheelwright,22393
Stellnetzfischer/in,Gill net fisherman,11422
Stellvertretende/r Schulleiter/in,Deputy Headmaster,84194
Stellwerkschlosser/in,Signal box fitter,51112
Stellwerkswrter/in,Signalman,51522
Stelzenlufer/in,Stilt walker,94283
Stempelerzeuger/in und Flexograf/in,Stamp maker and flexographer,23282
Stempelgussformer/in,Stamp molder,24142
Stempelmacher/in,Stamp maker,23282
Stempelmachermeister/in,Master stamp maker,23293
Stempelsetzer/in,Stamp setter,23212
Steno- und Datentypist/in,Shorthand and data typist,71432
Steno- und Phonotypist/in,Steno and phonotypist,71432
Stenograf/in,Stenographer,71432
Stenografielehrer/in,Stenography teacher,84213
Stenokontorist/in,Steno-accountist,71432
Stenophonotypist/in,Stenophonotypist,71432
Stenosekretr/in,Stenosecretary,71432
"Stenosekretr/in, Broassistent/in","Stenosecretary, office assistant",71402
Stenotypie-/Phonotypielehrer/in,Stenotype/phonotype teacher,84213
Stenotypist/in,Stenotypist,71432
Step-Aerobic-Instruktor/in,Step aerobics instructor,84553
"Steppmeister/in (Schuh-, Lederwarenindustrie)",Quilt master (shoe and leather goods industry),28393
Steptanzlehrer/in,Tap dance teacher,84533
Stereotypeur- und Galvanoplastikermeister/in,Master stereotyper and electroplating artist,23293
Stereotypeur/in,Stereotyper,23282
Stereotypeurmeister/in,Master stereotyper,23293
Sterilisierer/in (Milchverarbeiter/in),Sterilizer (milk processor),29252
Steuer(er/in) - chem. Destillationsapparate und -reaktoren,Taxpayer - chem. Distillation apparatus and reactors,41333
Steuer(er/in) - chemische Filter- und Trennausrstungen,Controller - chemical filter and separation equipment,41333
Steuer(er/in) - chemische Wrmebehandlungsanlagen,Controller - chemical heat treatment plants,41333
Steuer(er/in) - Erdl- und Erdgasraffinationsanlagen,Taxpayer - Petroleum and natural gas refining plants,41343
Steuer(er/in) - Gasanlagen,Taxpayer - gas systems,41343
Steuerassistent/in,Tax assistant,72303
Steuerbeamt(er/in) (einf. Dienst),Tax officer (simple service),73231
Steuerbeamt(er/in) (geh. Dienst),Tax officer (on duty),73233
Steuerbeamt(er/in) (hh. Dienst),Tax officer (higher service),73234
Steuerbeamt(er/in) (mittl. Dienst),Tax officer (intermediate service),73232
Steuerberater/in,Tax advisor,72304
Steuerberatergehilfe/-gehilfin,Tax advisor assistant,72302
Steuerberatungsassistent/in,Tax advisory assistant,72303
Steuerberatungsgehilfe/-gehilfin,Tax advisory assistant,72302
Steuerbetriebswirt/in,Tax business economist,72303
Steuerbevollmchtigte/r,Tax representative,72304
Steuerfachangestellte/r,Tax clerk,72302
Steuerfachgehilfe/-gehilfin,Tax assistant,72302
Steuerfachmann/-frau,Tax specialist,72303
Steuerfachwirt/in,Tax specialist,72303
Steuergehilfe/-gehilfin,Tax assistant,72302
Steuermann/-frau (Binnenschifffahrt),Helmsman/woman (inland waterway transport),52423
"Steuermann/-frau (See-, Kstenschifffahrt)","Helmsman/woman (sea, coastal shipping)",52413
Steuermann/-frau/Naut.Schiffsoffizier - Kl.Hochseefischer.,Helmsman/woman/nautical ship's officer - class deep-sea fisherman.,52413
Steuerpraktiker/in,Tax practitioner,72303
Steuerreferent/in,Tax officer,72304
Steuersachbearbeiter/in,Tax clerk,72302
Steuerungselektroniker/in,Control electronics engineer,26122
Steuerungsfachmann/-frau,Control specialist,26123
Steuerungskonstrukteur/in,Control designer,27223
Steuerungstechniker/in,Control technician,26123
Steuerungstechnische/r Assistent/in,Control technology assistant,26122
Steward/Stewardess (Flugzeug),Steward/stewardess (airplane),51422
Sticker/in,Embroiderer,28112
Sticker/in - Kleinmaschinenstickerei,Embroiderer - small machine embroidery,28112
Stickereimusterzeichner/in,Embroidery pattern designer,28112
Stickereitechniker/in,Embroidery technician,28113
Stickerhelfer/in,Embroidery helper,28101
Stickermeister/in,Master Embroiderer,28193
Stickerwerker/in (õ66 BBiG/õ42m HWO),Embroiderer (õ66 BBiG/õ42m HWO),28112
Stiftgalvaniseur/in,Pen electroplater,24302
Stiftungsgeschftsfhrer/in (Kulturmanagement),Foundation manager (cultural management),63404
Stillberater/in,Lactation consultant,81352
Stillstandsplaner/in,Downtime planner,27303
Stimmenmachermeister/in,Master voice maker,93393
Stimmfhrer/in (Streicher),Principal (strings),94114
Stimmlehrer/in,Voice teacher,81733
Stimmtherapeut/in,Voice therapist,81733
"Stoffaufbereiter/in (Papier-, Zellstoffherstellung)",Stock processor (paper and pulp production),23112
Stoffaufleger/in,Fabric applicator,28221
Stoffdirektrice/-modelleur (Damenhutherstellung),Fabric director/modeler (women's hat production),28213
"Stoffprfer/in (Chemie) Glas-, Keram.-Ind., Steine u. Erden","Fabric tester (chemistry) glass, ceramics, stones and earths",41322
Stofftiermacher/in,Stuffed animal maker,93332
Stoffwrter/in,Material manager,51311
Stoffwscher/in (Textilveredlung),Fabric washer (textile finishing),28101
Stollenhauer/in (Mineur),,32242
Stomatologische Schwester,Stomatological sister,81113
Store Leiter/in,Store manager,62194
Store-Manager/in,Store Manager,62194
Strfallbeauftragte/r,,42324
"Strungsdienstmonteur/in - Aufzugbau, Elektrik",,25132
Strungsmonteur/in - Elektroinstallation,,25132
Storyliner,,92434
Stoáer/in,,24232
Stoámaschineneinrichter/in,Stoá machine setter,24232
Strafverteidiger/in,Criminal defense attorney,73134
Strafvollzugsbeamt(er/in) (geh. Dienst),Correctional officer (on duty),53243
Strahlenbiologe/-biologin,Radiation biologist,41284
Strahlenphysiker/in,,41484
Strahlenschutzassistent/in,,42333
Strahlenschutzbeauftragte/r,Radiation protection officer,42334
Strahlenschtzer/in,Radiation protector,42333
Strahlenschutzfachkraft,,42333
Strahlenschutzingenieur/in,,42334
Strahlenschutztechniker/in,Radiation protection technician,42333
Strahlentherapeut/in,Radiation therapist,81234
Stranggarnbleicher/in,Strand yarn bleacher,28142
Strangschlichter/in,Strand mediator,28101
Straáenarbeiter/in,Road worker,32201
Straáenbahnfahrer/in,Tram driver,52132
Straáenbahnfhrer/in,Tram driver,52132
Straáenbahnschaffner/in,Tram conductor,51412
Straáenbauarbeiter/in,Road construction worker,32222
Straáenbauer/in,Road builder,32222
Straáenbauer/in -Pflaster(er/in)-,Road builder - paving worker -,32212
Straáenbauermeister/in/B. Prof. Straáenbauer-Handwerk,Master road builder/B. Prof. Straáenbauer-Handwerk,32293
Straáenbaufacharbeiter/in,,32222
Straáenbauhelfer/in,Road construction assistant,32201
Straáenbauingenieur/in,Road construction engineer,32224
Straáenbaumaschinenfhrer/in,Road construction machine operator,52522
Straáenbaupolier/in,Road construction foreman,32293
Straáenbautechniker/in,Road construction technician,31132
Straáenbauzeichner/in,Road construction draftsman,27212
Straáenkehrer/in,Street sweeper,34301
Straáenkehrmaschinenfahrer/in,Street sweeper driver,52122
Straáenmaler/in,Street painter,93323
Straáenmarkierer/in,Road marker,51212
Straáenmeister/in,Road supervisor,51293
Straáenpflasterer/-pflasterin,Street paver/paver,32212
Straáenreiniger/in,Street cleaner,34301
Straáensozialarbeiter/in,Street social worker,83124
Straáentunnelwart/in,Road tunnel attendant,51212
Straáenunterhaltungsarbeiter/in,Road maintenance worker,32201
Straáenwachtfahrer/in,Road patrol driver,25212
Straáenwrter/in,Street warden,51212
Straáenwrtermeister/in,Street warden,51293
Strategic Sourcing Manager/in,Strategic Sourcing Manager,61113
Strategieberater/in,Strategy consultant,71324
Strauábinder/in,Strauábinder/in,12202
Streaming Engineer,Streaming Engineer,43154
Strebhauer/in (Versatz),Longwall miner (offset),21112
Strebmeister/in,Aspire Master,21193
Streckenarbeiter/in,Route worker,32201
Streckenwrter/in (Bahn),Route attendant (railway),51222
Streetworker/in,Street worker,83124
Streich- und Saiteninstrumentenbauer/in,String and string instrument maker,93612
Streich- und Zupfinstrumentenbauermeister/in,Master string and plucked instrument maker,93693
Streichgarnspinner/in,String yarn spinner,28132
Streichinstrumentenbauer/in,String instrument maker,93612
Streichinstrumentenbauermeister/in,Master string instrument maker,93693
Streichinstrumentenfacharbeiter/in,String instrument specialist,93612
Streichmaschinenfhrer/in - Papierherstellung,Coating machine operator - paper production,23112
Streifenbeamt(er/in),patrol officer,53212
Streábewltigungstrainer/in,Stress management trainer,84483
Strichtzer/in,Dash artist,23212
Stricker/in,knitter,28122
Strickereitechniker/in,Knitting technician,28123
Strickermeister/in,Master knitter,28193
Strickmaschineneinrichter/in,Knitting machine setter,28122
Strickmaschinenfhrer/in,Knitting machine operator,28122
Strickmeister/in,Knitting master,28193
Stricktechniker/in,Knitting technician,28123
Strickwarenerzeuger/in,Knitwear manufacturer,28122
Striptease-Tnzer/in,Striptease dancer,94252
Stroh- u. Rohrflechter/in,Straw and cane weaver,22352
Strohdachdecker/in,Thatched roofer,32142
Strohhutformer/in,Straw hat maker,28222
Strohhutmacher/in,Straw hat maker,28222
Strohwarenflechter/in,Straw weaver,22352
Stroke-Nurse,Stroke Nurse,81313
Strom- und Gashndler/in,Electricity and gas trader,61283
Stromableser/in,Electricity reader,25131
Stromleitungsmonteur/in,Power line fitter,26262
Stromnetzmonteur/in,Electricity network engineer,26262
Strumpffacharbeiter/in,Hosiery worker,28122
