de,en
Assistent/in - Lebensmitteltechnik,Assistant - Food Technology
Assistent/in - Licht- und Tongestaltung,Assistant - Light and Sound Design
Assistent/in - Logistik,Assistant - Logistics
Assistent/in - Marketing,Assistant - Marketing
Assistent/in - Maschinenbautechnik,Assistant - Mechanical Engineering Technology
Assistent/in - Maschinentechnik,Assistant - mechanical engineering
Assistent/in - Mechatronik,Assistant - Mechatronics
Assistent/in - mechatronische Systeme,Assistant - mechatronic systems
Assistent/in - Medientechnik,Assistant - Media Technology
Assistent/in - medizinische Dokumentation,Assistant - medical documentation
Assistent/in - medizinische Sektion und Prparation,Assistant - medical dissection and preparation
Assistent/in - Medizinisch-technisches Laboratorium,Assistant - Medical-Technical Laboratory
Assistent/in - Medizintechnik,Assistant - Medical Technology
Assistent/in - Mode und Design,Assistant - Fashion and Design
Assistent/in - Nachrichtentechnik,Assistant - Communications Engineering
Assistent/in - Nuklearmedizin,Assistant - Nuclear Medicine
Assistent/in - Ohrenheilkunde,Assistant - Otolaryngology
Assistent/in - Operationstechnik,Assistant - Surgical Technique
Assistent/in - Personalwesen,Assistant - Human Resources
Assistent/in - Pressestelle,Assistant - Press Office
Assistent/in - Produktdesign,Assistant - Product Design
Assistent/in - Produktionsleitung,Assistant - Production Manager
Assistent/in - Radiologie,Assistant - Radiology
Assistent/in - regenerative Energie,Assistant - renewable energy
Assistent/in - Rettungsdienst,Assistant - emergency services
Assistent/in - Screen Design,Assistant - Screen Design
Assistent/in - Softwaretechnologie,Assistant - Software Technology
Assistent/in - Sozialmedizin,Assistant - Social Medicine
Assistent/in - Sozialpdagogik,Assistant - Social Pedagogy
Assistent/in - Sozialpflege,Assistant - Social Care
Assistent/in - Steuerberatung,Assistant - tax advice
Assistent/in - Technische Dokumentation,Assistant - Technical Documentation
Assistent/in - Technische Kommunikation,Assistant - Technical Communication
Assistent/in - Telemedizin,Assistant - Telemedicine
Assistent/in - Textil u. Modedesign,Assistant - Textile and Fashion Design
Assistent/in - Textiltechnik,Assistant - Textile Technology
Assistent/in - Textverarbeitung,Assistant - word processing
Assistent/in - Tiermedizin,Assistant - Veterinary Medicine
Assistent/in - berwach. d. Auslandsfert. (Bekleidungsind.),Assistant - Monitoring d. Foreign production (clothing industry)
Assistent/in - Umweltschutztechnik,Assistant - Environmental Protection Technology
Assistent/in - Veranstaltungstechnik,Assistant - event technology
Assistent/in - Verkaufsleitung,Assistant - Sales Manager
Assistent/in - Vertrieb,Assistant - Sales
Assistent/in - Veterinrmedizin,Assistant - Veterinary Medicine
Assistent/in - Wirtschaftsinformatik,Assistant - Business Informatics
Assistent/in - Wirtschaftsprfung,Assistant - Auditing
Assistent/in - Zytologie,Assistant - Cytology
Assistent/in (kaufmnnisch) - Vertrieb,Assistant (commercial) - Sales
Assistent/in (technisch) - Vertrieb,Assistant (technical) - Sales
Assistent/in in der Textilwirtschaft,Assistant in the textile industry
Assistent/in/Fachkraft - Rechnungswesen,Assistant/Specialist - Accounting
Assistenzarzt/-rztin,Assistant doctor
Assistenzarzt/-rztin - Augenheilkunde,Assistant doctor - ophthalmology
Assistenzarzt/-rztin (Uni) - Ansthesiologie,Assistant doctor (university) - anesthesiology
Assistenzarzt/-rztin (Uni) - Anatomie,Assistant doctor (university) - anatomy
Assistenzarzt/-rztin (Uni) - Arbeitsmedizin,Assistant doctor (university) - occupational medicine
Assistenzarzt/-rztin (Uni) - Biochemie,Assistant doctor (university) - biochemistry
Assistenzarzt/-rztin (Uni) - Chirurgie,Assistant doctor (university) - surgery
Assistenzarzt/-rztin (Uni) - Frauenheil./Geburtsh.,Assistant doctor (university) - gynecology/obstetrics.
Assistenzarzt/-rztin (Uni) - Gefáchirurgie,Assistant doctor (university) - vascular surgery
Assistenzarzt/-rztin (Uni) - Hals-Nasen-Ohrenheilkunde,"Assistant doctor (university) - ear, nose and throat medicine"
Assistenzarzt/-rztin (Uni) - Haut- u. Geschlechtskrankheit.,Assistant doctor (university) - skin and sexually transmitted diseases.
Assistenzarzt/-rztin (Uni) - Herzchirurgie,Assistant doctor (university) - cardiac surgery
Assistenzarzt/-rztin (Uni) - Humangenetik,Assistant doctor (university) - human genetics
Assistenzarzt/-rztin (Uni) - Hygiene u. Umweltmedizin,Assistant doctor (university) - hygiene and environmental medicine
Assistenzarzt/-rztin (Uni) - Innere Med./Allgem.Med,Assistant doctor (university) - internal medicine/general medicine
Assistenzarzt/-rztin (Uni) - Innere Medizin,Assistant doctor (university) - internal medicine
Assistenzarzt/-rztin (Uni) - Kind./Jgd.psychiat. u. -psycho,Assistant doctor (university) - child/young psychiatrist. and -psycho
Assistenzarzt/-rztin (Uni) - Kinder-/Jugendmedizin,Assistant doctor (university) - pediatric/adolescent medicine
Assistenzarzt/-rztin (Uni) - Kinderchirurgie,Assistant doctor (university) - pediatric surgery
Assistenzarzt/-rztin (Uni) - Klinische Pharmakologie,Assistant doctor (university) - clinical pharmacology
Assistenzarzt/-rztin (Uni) - Laboratoriumsmedizin,Assistant doctor (university) - laboratory medicine
Assistenzarzt/-rztin (Uni) - Mikrob./Virol./Infektionsepid.,Assistant doctor (university) - Microbial/Virol./Infectious Epid.
Assistenzarzt/-rztin (Uni) - Mund-Kiefer-Gesichtschirurgie,Assistant doctor (university) - oral and maxillofacial surgery
Assistenzarzt/-rztin (Uni) - Neurochirurgie,Assistant doctor (university) - neurosurgery
Assistenzarzt/-rztin (Uni) - Neurologie,Assistant doctor (university) - neurology
Assistenzarzt/-rztin (Uni) - Neuropathologie,Assistant doctor (university) - neuropathology
Assistenzarzt/-rztin (Uni) - Nuklearmedizin,Assistant doctor (university) - nuclear medicine
Assistenzarzt/-rztin (Uni) - ffentliches Gesundheitswesen,Assistant doctor (university) - public health system
Assistenzarzt/-rztin (Uni) - Orthopdie und Unfallchirurgie,Assistant doctor (university) - orthopedics and trauma surgery
Assistenzarzt/-rztin (Uni) - Pathologie,Assistant doctor (university) - pathology
Assistenzarzt/-rztin (Uni) - Pharmakologie und Toxikologie,Assistant doctor (university) - pharmacology and toxicology
Assistenzarzt/-rztin (Uni) - Physikal./Rehabilitat.,Assistant doctor (university) - physical/rehabilitation.
Assistenzarzt/-rztin (Uni) - Physiologie,Assistant doctor (university) - physiology
Assistenzarzt/-rztin (Uni) - Plastische Chirurgie,Assistant doctor (university) - plastic surgery
Assistenzarzt/-rztin (Uni) - Psychiatrie u. Psychotherapie,Assistant doctor (university) - Psychiatry and psychotherapy
Assistenzarzt/-rztin (Uni) - Psychosom. Medizin u. Psychoth,Assistant doctor (University) - Psychosom. Medicine and Psychoth
Assistenzarzt/-rztin (Uni) - Radiologie,Assistant doctor (university) - radiology
Assistenzarzt/-rztin (Uni) - Rechtsmedizin,Assistant doctor (university) - forensic medicine
"Assistenzarzt/-rztin (Uni) - Sprach-, Stimm- u. kindl.Hrst","Assistant doctor (university) - speech, voice and child hearing aid"
Assistenzarzt/-rztin (Uni) - Strahlentherapie,Assistant doctor (university) - radiation therapy
Assistenzarzt/-rztin (Uni) - Thoraxchirurgie,Assistant doctor (university) - thoracic surgery
Assistenzarzt/-rztin (Uni) - Transfusionsmedizin,Assistant doctor (university) - transfusion medicine
Assistenzarzt/-rztin (Uni) - Urologie,Assistant doctor (university) - urology
Assistenzarzt/-rztin (Uni) - Viszeralchirurgie,Assistant doctor (university) - visceral surgery
Assistenz-Kameramann/-frau,Assistant cameraman/woman
Assistenz-Tanzlehrer/in,Assistant dance teacher
Assistenzzahnarzt/-rztin,Assistant dentist/doctor
Astro-/Weltraumphysiker/in (Uni),Astro/space physicist (university)
Astrologe/Astrologin,Astrologer/Astrologer
Astronom/in (Uni),Astronomer (University)
Astrophysiker/in,Astrophysicist
"Astrophysiker/in, Astronom/in","Astrophysicist, astronomer"
Atelierfotograf/in,Studio photographer
Atelierleiter/in - Bekleidung,Studio manager - clothing
Atelierleiter/in - Rauchwaren,Studio manager - tobacco products
Atelierleiter/in - Stickerei,Studio manager - embroidery
Atelierleiter/in - Weberei,Studio manager - weaving
"Atem-, Sprech- u. Stimmlehrer/in - therapeutischen Bereich","Breathing, speaking and voice teacher - therapeutic area"
"Atem-, Sprech- und Stimmlehrer/in","Breathing, speaking and voice teacher"
"Atem-,Sprech-,Stimmlehrer/in-knstlerisch-musischer Bereich","Breathing, speaking, voice teacher-artistic-musical area"
Atemlehrer/in,Breathing instructor
Atempdagoge/-pdagogin,Breath teacher/educator
Atemtherapeut/in,Respiratory therapist
Atemtherapiekursleiter/in,Respiratory therapy course leader
Atlasloge/Atlaslogin,Atlaslogist/Atlaslogin
Atmungsorthopde/-orthopdin,Respiratory orthopde/-orthopdin
Atomphysiker/in,Nuclear physicist
Atomtechniker/in,Nuclear engineer
Attrappenmacher/in,Dummy maker
tzer/in (Druckformen),tzer/in (printing forms)
Audiodesigner/in - Musik,Audio designer - music
Audiodeskriptor/in,Audio descriptor
Audio-Engineer,Audio engineer
Audiologieassistent/in,Audiology assistant
Audiologie-Phoniatrie-Assistent/in,Audiology-phoniatry assistant
Audiometrieassistent/in,Audiometry assistant
Audiometrist/in,Audiometrist
Audio-neurootologische/r Assistent/in,Audio neuro-otological assistant
Audio-Producer/in,Audio producer
Audio-Techniker/in,Audio technician
Aufbumer/in (Kabel),Boomer (cable)
Aufbaumonteur/in (Metallbau),Construction fitter (metal construction)
Aufbauorganisator/in,Organizational organizer
Aufbereiter/in - Bergbau,Processor - Mining
Aufbereiter/in (Kfz),Detailer (motor vehicle)
Aufbereitungsingenieur/in (Bergbau),Processing engineer (mining)
Aufbereitungsmechaniker/in - Braunkohle,Processing mechanic - brown coal
Aufbereitungsmechaniker/in - Feuerfeste/keramische Rohstoffe,Processing mechanic - refractory/ceramic raw materials
Aufbereitungsmechaniker/in - Naturstein,Processing mechanic - natural stone
Aufbereitungsmechaniker/in - Sand und Kies,Processing mechanic - sand and gravel
Aufbereitungsmechaniker/in - Sortierung/Klassierung,Processing mechanic - sorting/classification
Aufbereitungsmechaniker/in - Steinkohle,Processing mechanic - hard coal
Aufbereitungsmechaniker/in - Zerkleinerung,Processing mechanic - shredding
Aufbereitungsmechaniker/in Gewinnung (Naturstein),Processing mechanic for extraction (natural stone)
Aufbereitungsmechaniker/in Gewinnung (Sand u. Kies),Processing mechanic for extraction (sand and gravel)
"Aufbereitungsmechaniker/in Gewinnung(feuerf.,keram.Rohstoff)","Processing mechanic in extraction (refractory, ceramic raw materials)"
Aufdampfer/in (Elektromontage),Evaporator (electrical assembly)
Aufnahmeleiter/in - Film und Fernsehen,Production manager - film and television
Aufnahmeleiter/in (Rundfunk),Production manager (broadcasting)
Aufnahmeleiterassistent/in,Assistant production manager
Aufnahmeschwester/-pfleger,Reception nurse/nurse
Aufreiber/in,disruptor
Aufreiáer/in (Modellbau),Breaker (model making)
Aufschlger/in (Schmiedehelfer/in),Servant (blacksmith assistant)
Aufseher/in (Landwirtschaft),Supervisor (agriculture)
Aufsicht (Spielhalle),Supervision (arcade)
Aufsicht (Verkauf),Supervision (sales)
Aufsicht -Messe/Ausstellungen/Warenhuser,Supervision - trade fairs/exhibitions/department stores
Aufsichtsperson (Unfallversicherung),Supervisor (accident insurance)
Aufspanner/in (Buchbinderei),Stretcher (bookbinding)
Auftragsakquisiteur/in,Order acquisition agent
Auftragsannehmer/in (Fahrzeugbau),Order taker (vehicle construction)
Auftragskoordinierer/in,Order coordinator
Auftragsleiter/in,Order manager
Aufzeichner/in (Bekleidungsindustrie),Recorder (clothing industry)
Aufzugbauer/in,Elevator builder
Aufzugbauer/in - Elektroanlagen,Elevator builder - electrical systems
Aufzugmonteur/in,Elevator fitter
Aufzugmonteur/in (Elektroanlagen),Elevator fitter (electrical systems)
Aufzugsbauer/in,Elevator engineer
Aufzugschlosser/in,Elevator mechanic
Aufzugselektriker/in,Elevator electrician
Aufzugstechniker/in,Elevator technician
Augenarzt/-rztin,Ophthalmologist
Augenarztgehilfe/-gehilfin (Orthoptist/in),Ophthalmologist's assistant (orthoptist)
Augenoptiker/in,Optometrist
Augenoptiker/in (FS),Optometrist (FS)
Augenoptiker/in (Weiterbildung),Optometrist (further training)
Augenoptikergehilfe/-gehilfin,Optician's assistant
Augenoptikermeister/in/B. Prof. Augenoptiker-Handwerk,Master optician/B. Prof. optician craft
Augenoptiktechniker/in,Ophthalmic optician
"Auktionator/in, Versteiger(er/in)","auctioneer, auctioneer"
Au-pair,AU Pair
Aus- und Weiterbildungspdagoge/-pdagogin,Training and further education educator
Ausbcker/in,baker/in
Ausbaufacharbeiter/in - Bautischlerarbeiten,Construction specialist - construction carpentry work
Ausbaufacharbeiter/in - Estricharbeiten,Construction specialist - screed work
"Ausbaufacharbeiter/in - Fliesen-, Platten- u. Mosaikarbeiten","Construction specialist - tile, slab and mosaic work"
Ausbaufacharbeiter/in - Fliesenlegerarbeiten,Construction specialist - tiling work
Ausbaufacharbeiter/in - Fuábodenlegerarbeiten,Finishing specialist - floor laying work
Ausbaufacharbeiter/in - Malerarbeiten,Construction worker - painting work
Ausbaufacharbeiter/in - Stuckarbeiten,Construction specialist - stucco work
Ausbaufacharbeiter/in - Stuckateurarbeiten,Construction specialist - plastering work
Ausbaufacharbeiter/in - Trockenbauarbeiten,Construction specialist - drywall work
"Ausbaufacharbeiter/in - Wrme-, Klte- u. Schallschutzarb.","Construction specialist - heat, cold and sound insulation work."
Ausbaufacharbeiter/in - Zimmerarbeiten,Construction worker - carpentry work
Ausbaufacharbeiter/in (ohne Angabe des Schwerpunkts),Expansion specialist (without specifying focus)
Ausbaufachwerker/in (õ66 BBiG/õ42m HWO),Construction specialist (õ66 BBiG/õ42m HWO)
Ausbauhelfer/in,Construction assistant
Ausbaumanager/in,Expansion manager
Ausbaumaurer/in,Expanding bricklayer
Ausbaupolier/in,Development foreman
Ausbautechniker/in,Expansion technician
Ausbautechniker/in (Holz),Construction technician (wood)
Ausbauzimmer(er/in),Expansion room(s)
Ausbeiner/in,Boner
"Ausbesser(er/in), Ausschneider/in","mender, cutter"
Ausbildende/r hauswirtsch. Betriebsleiter/in (lndl. Hausw.),Apprentice in home economics. Operations manager (rural housekeeping)
Ausbildende/r hauswirtsch. Betriebsleiter/in (stdt. Hausw.),Apprentice in home economics. Operations manager (municipal housekeeping)
Ausbildende/r Landwirtschaftsmeister/in,Training master in agriculture
Ausbilder/in - Anerkannte Ausbildungsberufe,Trainer - Recognized training occupations
Ausbilder/in - Bau,Trainer - Construction
Ausbilder/in - Bausparkassenfachleute,Trainer - building society specialists
Ausbilder/in - berufliche Umschulung,Trainer - professional retraining
Ausbilder/in - Berufsbildungswerk,Trainer - vocational training center
Ausbilder/in - Berufsfrderungswerk,Trainer - vocational development organization
Ausbilder/in - Bundesvermgensverwaltung (gehob. nichtt. D.),Trainer - Federal Assets Administration (higher non-technical D.)
Ausbilder/in - Datenverarbeitungstechnik,Trainer - data processing technology
Ausbilder/in - Entwicklungshilfe,Trainer - development aid
Ausbilder/in - Erste Hilfe,Instructor - First Aid
Ausbilder/in - Gebudetechnik,Trainer - building technology
Ausbilder/in - Gewerbliche Wirtschaft,Trainer - Commercial Economy
Ausbilder/in - Gewerblich-techn. Bereich,Trainer - Industrial-technical. Area
Ausbilder/in - Glasbautechnik,Instructor - glass construction technology
Ausbilder/in - Hauswirtschaft,Instructor - Housekeeping
Ausbilder/in - Hotel,Instructor - Hotel
